"year","theme_id","theme_name","relative","n_items","source_name","target_name"
2000,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
2014,562,The Hobbit,son,25,"561-The Hobbit and Lord of the Rings","562-The Hobbit"
1990,194,Forestmen,son,7,"186-Castle","194-Forestmen"
2020,509,SPIKE,son,33,"507-Educational and Dacta","509-SPIKE"
2016,734,Magnets,son,124,"501-Gear","734-Magnets"
2010,740,Storage,son,166,"501-Gear","740-Storage"
1993,140,Space Police II,son,10,"126-Space","140-Space Police II"
2021,740,Storage,son,166,"501-Gear","740-Storage"
2010,737,Role Play Toys and Costumes,son,223,"501-Gear","737-Role Play Toys and Costumes"
2005,503,Key Chain,son,707,"501-Gear","503-Key Chain"
1980,663,Rattles,son,23,"504-Duplo","663-Rattles"
2015,410,Pick A Model,son,32,"408-LEGO Brand Store","410-Pick A Model"
2018,597,Ninjago,son,4,"591-Juniors","597-Ninjago"
2010,58,Fire,son,120,"52-City","58-Fire"
2023,53,Airport,son,40,"52-City","53-Airport"
1972,234,"12V",son,65,"233-Train","234-12V"
2018,593,Disney Princess,son,5,"591-Juniors","593-Disney Princess"
1980,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
2019,734,Magnets,son,124,"501-Gear","734-Magnets"
2016,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2003,734,Magnets,son,124,"501-Gear","734-Magnets"
2005,634,Trains,son,73,"504-Duplo","634-Trains"
2018,634,Trains,son,73,"504-Duplo","634-Trains"
1984,663,Rattles,son,23,"504-Duplo","663-Rattles"
2011,760,Activity Books,son,211,"497-Books","760-Activity Books"
1976,528,Supplemental,son,30,"507-Educational and Dacta","528-Supplemental"
2008,510,Serious Play,son,23,"507-Educational and Dacta","510-Serious Play"
1970,416,Construction,son,42,"411-Legoland","416-Construction"
2006,227,Christmas,son,199,"206-Seasonal","227-Christmas"
1995,148,Pirates I,son,82,"147-Pirates","148-Pirates I"
1991,21,Universal Building Set,son,23,"1-Technic","21-Universal Building Set"
2011,533,Town,son,36,"507-Educational and Dacta","533-Town"
1987,130,Classic Space,son,105,"126-Space","130-Classic Space"
1982,471,Ferries,son,17,"598-Promotional","471-Ferries"
2019,57,Farm,son,21,"52-City","57-Farm"
1970,472,Gears,son,11,"465-Universal Building Set","472-Gears"
2021,59,Harbor,son,22,"52-City","59-Harbor"
2017,738,Seasonal,son,65,"501-Gear","738-Seasonal"
1973,417,Fire,son,14,"411-Legoland","417-Fire"
2013,738,Seasonal,son,65,"501-Gear","738-Seasonal"
2004,230,Halloween,son,31,"206-Seasonal","230-Halloween"
2016,596,Marvel Super Heroes,son,4,"591-Juniors","596-Marvel Super Heroes"
2003,518,Mindstorms,son,90,"507-Educational and Dacta","518-Mindstorms"
1969,757,Ideas Books,son,99,"497-Books","757-Ideas Books"
1998,122,RC,son,25,"112-Racers","122-RC"
1992,90,Paradisa,son,21,"50-Town","90-Paradisa"
1980,511,Building Set with People,son,2,"507-Educational and Dacta","511-Building Set with People"
2018,596,Marvel Super Heroes,son,4,"591-Juniors","596-Marvel Super Heroes"
2012,738,Seasonal,son,65,"501-Gear","738-Seasonal"
2007,732,Clocks and Watches,son,214,"501-Gear","732-Clocks and Watches"
2022,54,Cargo,son,9,"52-City","54-Cargo"
2000,462,Soccer,son,109,"458-Sports","462-Soccer"
1967,756,Samsonite,son,149,"365-System","756-Samsonite"
1968,756,Samsonite,son,149,"365-System","756-Samsonite"
2020,702,Avengers,son,122,"696-Super Heroes Marvel","702-Avengers"
2005,662,Princess Castle,son,7,"504-Duplo","662-Princess Castle"
2021,714,Looney Tunes,son,16,"535-Collectible Minifigures","714-Looney Tunes"
2015,630,Marvel,son,9,"504-Duplo","630-Marvel"
2014,533,Town,son,36,"507-Educational and Dacta","533-Town"
2008,631,Thomas & Friends,son,18,"504-Duplo","631-Thomas & Friends"
2018,57,Farm,son,21,"52-City","57-Farm"
1970,418,Gas Station,son,6,"411-Legoland","418-Gas Station"
1981,189,Classic Castle,son,8,"186-Castle","189-Classic Castle"
2007,54,Cargo,son,9,"52-City","54-Cargo"
2004,662,Princess Castle,son,7,"504-Duplo","662-Princess Castle"
2003,231,Thanksgiving,son,8,"206-Seasonal","231-Thanksgiving"
2010,57,Farm,son,21,"52-City","57-Farm"
2013,702,Avengers,son,122,"696-Super Heroes Marvel","702-Avengers"
2020,653,DC Comics,son,9,"504-Duplo","653-DC Comics"
1981,473,Supplemental,son,96,"465-Universal Building Set","473-Supplemental"
2016,230,Halloween,son,31,"206-Seasonal","230-Halloween"
2017,64,Off-Road,son,11,"52-City","64-Off-Road"
2015,64,Off-Road,son,11,"52-City","64-Off-Road"
2002,528,Supplemental,son,30,"507-Educational and Dacta","528-Supplemental"
2017,54,Cargo,son,9,"52-City","54-Cargo"
1971,235,"4.5V",son,92,"233-Train","235-4.5V"
1972,472,Gears,son,11,"465-Universal Building Set","472-Gears"
2006,533,Town,son,36,"507-Educational and Dacta","533-Town"
1980,652,Playhouse,son,60,"504-Duplo","652-Playhouse"
2002,652,Playhouse,son,60,"504-Duplo","652-Playhouse"
2015,652,Playhouse,son,60,"504-Duplo","652-Playhouse"
2016,59,Harbor,son,22,"52-City","59-Harbor"
1989,471,Ferries,son,17,"598-Promotional","471-Ferries"
1999,144,UFO,son,19,"126-Space","144-UFO"
1998,471,Ferries,son,17,"598-Promotional","471-Ferries"
2011,506,Cars,son,21,"754-Disney","506-Cars"
2001,635,Winnie the Pooh,son,18,"754-Disney","635-Winnie the Pooh"
2004,650,Legoville,son,86,"632-Town","650-Legoville"
2008,211,Castle,son,2,"207-Advent","211-Castle"
2020,208,City,son,21,"207-Advent","208-City"
2007,525,Technic,son,282,"524-Service Packs","525-Technic"
2014,228,Creator,son,36,"227-Christmas","228-Creator"
2017,641,Mickey & Friends,son,18,"754-Disney","641-Mickey & Friends"
2012,521,WeDo,son,40,"518-Mindstorms","521-WeDo"
1998,520,RCX,son,16,"518-Mindstorms","520-RCX"
2015,648,Doc McStuffins,son,4,"754-Disney","648-Doc McStuffins"
2019,209,Star Wars,son,15,"207-Advent","209-Star Wars"
2013,640,Disney Princess,son,19,"754-Disney","640-Disney Princess"
2020,640,Disney Princess,son,19,"754-Disney","640-Disney Princess"
2003,214,Creator,son,4,"207-Advent","214-Creator"
2001,730,Audio and Visual Media,son,75,"501-Gear","730-Audio and Visual Media"
2019,641,Mickey & Friends,son,18,"754-Disney","641-Mickey & Friends"
2012,208,City,son,21,"207-Advent","208-City"
2017,216,Friends,son,13,"207-Advent","216-Friends"
2019,208,City,son,21,"207-Advent","208-City"
2024,208,City,son,21,"207-Advent","208-City"
2019,710,Harry Potter,son,6,"207-Advent","710-Harry Potter"
2023,710,Harry Potter,son,6,"207-Advent","710-Harry Potter"
2024,506,Cars,son,21,"754-Disney","506-Cars"
2020,710,Harry Potter,son,6,"207-Advent","710-Harry Potter"
2014,521,WeDo,son,40,"518-Mindstorms","521-WeDo"
1997,529,Technic,father,73,"507-Educational and Dacta","529-Technic"
2010,207,Advent,father,75,"206-Seasonal","207-Advent"
2005,632,Town,father,467,"504-Duplo","632-Town"
2004,207,Advent,father,75,"206-Seasonal","207-Advent"
1978,4,Expert Builder,son,48,"1-Technic","4-Expert Builder"
2014,409,Monthly Mini Model Build,son,154,"408-LEGO Brand Store","409-Monthly Mini Model Build"
2007,310,Aquaraiders II,son,11,"307-Aquazone","310-Aquaraiders II"
2013,401,Heroes,son,45,"400-Hero Factory","401-Heroes"
2007,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
1993,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2017,61,Police,son,200,"52-City","61-Police"
2018,632,Town,son,467,"504-Duplo","632-Town"
1995,632,Town,son,467,"504-Duplo","632-Town"
2007,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
1997,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
1985,632,Town,son,467,"504-Duplo","632-Town"
2020,741,Tabletop Games and Puzzles,son,41,"501-Gear","741-Tabletop Games and Puzzles"
1998,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2010,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2007,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2000,470,Classic Basic,son,53,"465-Universal Building Set","470-Classic Basic"
2000,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2014,700,Justice League,son,18,"695-Super Heroes DC","700-Justice League"
2013,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2022,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
1981,632,Town,son,467,"504-Duplo","632-Town"
1977,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
1978,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2021,632,Town,son,467,"504-Duplo","632-Town"
2015,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
1992,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2002,260,RCX,son,22,"258-Mindstorms","260-RCX"
2020,632,Town,son,467,"504-Duplo","632-Town"
2001,260,RCX,son,22,"258-Mindstorms","260-RCX"
2009,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2006,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
1983,4,Expert Builder,son,48,"1-Technic","4-Expert Builder"
2013,547,Series 11 Minifigures,son,19,"535-Collectible Minifigures","547-Series 11 Minifigures"
2021,746,Database Sets,son,122,"301-Other","746-Database Sets"
2024,746,Database Sets,son,122,"301-Other","746-Database Sets"
2014,746,Database Sets,son,122,"301-Other","746-Database Sets"
2016,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
1979,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2017,708,The LEGO Batman Movie,son,44,"697-Batman","708-The LEGO Batman Movie"
2013,519,NXT,son,9,"518-Mindstorms","519-NXT"
2007,632,Town,father,467,"504-Duplo","632-Town"
2017,632,Town,father,467,"504-Duplo","632-Town"
2008,207,Advent,father,75,"206-Seasonal","207-Advent"
2024,207,Advent,father,75,"206-Seasonal","207-Advent"
2003,207,Advent,father,75,"206-Seasonal","207-Advent"
2017,207,Advent,father,75,"206-Seasonal","207-Advent"
2017,409,Monthly Mini Model Build,son,154,"408-LEGO Brand Store","409-Monthly Mini Model Build"
2018,700,Justice League,son,18,"695-Super Heroes DC","700-Justice League"
2001,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2020,409,Monthly Mini Model Build,son,154,"408-LEGO Brand Store","409-Monthly Mini Model Build"
2013,632,Town,son,467,"504-Duplo","632-Town"
1993,632,Town,son,467,"504-Duplo","632-Town"
1978,632,Town,son,467,"504-Duplo","632-Town"
1975,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2005,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
2001,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2000,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2008,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2005,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
1995,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2010,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2013,262,EV3,son,14,"258-Mindstorms","262-EV3"
2015,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2001,274,Jurassic Park III,son,2,"273-Studios","274-Jurassic Park III"
2020,157,Bricktober,son,38,"598-Promotional","157-Bricktober"
1976,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
1989,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2021,157,Bricktober,son,38,"598-Promotional","157-Bricktober"
2006,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2004,632,Town,son,467,"504-Duplo","632-Town"
2003,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
1981,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2010,157,Bricktober,son,38,"598-Promotional","157-Bricktober"
1988,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2018,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2008,409,Monthly Mini Model Build,son,154,"408-LEGO Brand Store","409-Monthly Mini Model Build"
2022,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
1994,142,Spyrius,son,12,"126-Space","142-Spyrius"
2021,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
1989,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2009,632,Town,son,467,"504-Duplo","632-Town"
2001,746,Database Sets,son,122,"301-Other","746-Database Sets"
2020,746,Database Sets,son,122,"301-Other","746-Database Sets"
2007,746,Database Sets,son,122,"301-Other","746-Database Sets"
2023,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
1963,746,Database Sets,son,122,"301-Other","746-Database Sets"
1983,632,Town,son,467,"504-Duplo","632-Town"
1970,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2000,207,Advent,son,75,"206-Seasonal","207-Advent"
2010,746,Database Sets,son,122,"301-Other","746-Database Sets"
2006,519,NXT,son,9,"518-Mindstorms","519-NXT"
2007,210,Belville,son,1,"207-Advent","210-Belville"
2016,207,Advent,father,75,"206-Seasonal","207-Advent"
2006,632,Town,father,467,"504-Duplo","632-Town"
2014,207,Advent,father,75,"206-Seasonal","207-Advent"
2015,409,Monthly Mini Model Build,son,154,"408-LEGO Brand Store","409-Monthly Mini Model Build"
1987,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
1998,470,Classic Basic,son,53,"465-Universal Building Set","470-Classic Basic"
2015,61,Police,son,200,"52-City","61-Police"
2016,700,Justice League,son,18,"695-Super Heroes DC","700-Justice League"
1999,260,RCX,son,22,"258-Mindstorms","260-RCX"
2001,280,Jack Stone,son,29,"279-4 Juniors","280-Jack Stone"
2018,409,Monthly Mini Model Build,son,154,"408-LEGO Brand Store","409-Monthly Mini Model Build"
2018,656,Harry Potter and Fantastic Beasts Series 1,son,25,"535-Collectible Minifigures","656-Harry Potter and Fantastic Beasts Series 1"
1994,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2002,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
1999,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
1985,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
1996,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
1995,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2019,61,Police,son,200,"52-City","61-Police"
2016,632,Town,son,467,"504-Duplo","632-Town"
2002,632,Town,son,467,"504-Duplo","632-Town"
1986,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2014,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
1985,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2011,401,Heroes,son,45,"400-Hero Factory","401-Heroes"
2013,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2014,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2003,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2009,741,Tabletop Games and Puzzles,son,41,"501-Gear","741-Tabletop Games and Puzzles"
1990,632,Town,son,467,"504-Duplo","632-Town"
1997,632,Town,son,467,"504-Duplo","632-Town"
2020,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
1985,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
1982,632,Town,son,467,"504-Duplo","632-Town"
2006,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2014,303,Ultra Agents,son,15,"302-Agents","303-Ultra Agents"
1996,311,Aquasharks,son,5,"307-Aquazone","311-Aquasharks"
2022,632,Town,son,467,"504-Duplo","632-Town"
2016,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2015,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2003,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
1976,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2011,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
1996,632,Town,son,467,"504-Duplo","632-Town"
2019,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
2023,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
1997,309,Aquaraiders I,son,3,"307-Aquazone","309-Aquaraiders I"
2000,632,Town,son,467,"504-Duplo","632-Town"
1994,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2023,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2013,526,Soft Bricks,son,6,"507-Educational and Dacta","526-Soft Bricks"
2006,741,Tabletop Games and Puzzles,son,41,"501-Gear","741-Tabletop Games and Puzzles"
2019,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2017,746,Database Sets,son,122,"301-Other","746-Database Sets"
1958,746,Database Sets,son,122,"301-Other","746-Database Sets"
2000,746,Database Sets,son,122,"301-Other","746-Database Sets"
2017,263,Pirates of the Caribbean,son,20,"608-Disney","263-Pirates of the Caribbean"
2006,746,Database Sets,son,122,"301-Other","746-Database Sets"
2000,135,Life On Mars,son,30,"126-Space","135-Life On Mars"
2018,655,Powered Up,son,15,"438-Power Functions","655-Powered Up"
1999,529,Technic,father,73,"507-Educational and Dacta","529-Technic"
1998,207,Advent,father,75,"206-Seasonal","207-Advent"
2002,529,Technic,father,73,"507-Educational and Dacta","529-Technic"
2008,61,Police,son,200,"52-City","61-Police"
1998,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2019,409,Monthly Mini Model Build,son,154,"408-LEGO Brand Store","409-Monthly Mini Model Build"
2012,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2013,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
2011,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2017,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
1998,632,Town,son,467,"504-Duplo","632-Town"
2003,632,Town,son,467,"504-Duplo","632-Town"
1983,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2001,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2004,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2000,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
1997,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2022,157,Bricktober,son,38,"598-Promotional","157-Bricktober"
1993,529,Technic,son,73,"507-Educational and Dacta","529-Technic"
2005,341,Playsets,son,19,"324-Bionicle","341-Playsets"
2010,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
2012,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2008,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
1999,742,Video Games and Accessories,son,289,"501-Gear","742-Video Games and Accessories"
2005,632,Town,son,467,"504-Duplo","632-Town"
2012,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2016,61,Police,son,200,"52-City","61-Police"
2005,505,Basic Set,son,388,"504-Duplo","505-Basic Set"
2011,157,Bricktober,son,38,"598-Promotional","157-Bricktober"
2006,516,Duplo and Explore,son,298,"507-Educational and Dacta","516-Duplo and Explore"
2022,741,Tabletop Games and Puzzles,son,41,"501-Gear","741-Tabletop Games and Puzzles"
1996,142,Spyrius,son,12,"126-Space","142-Spyrius"
2013,741,Tabletop Games and Puzzles,son,41,"501-Gear","741-Tabletop Games and Puzzles"
2024,171,Ultimate Collector Series,son,51,"158-Star Wars","171-Ultimate Collector Series"
2008,260,RCX,son,22,"258-Mindstorms","260-RCX"
1955,746,Database Sets,son,122,"301-Other","746-Database Sets"
1999,746,Database Sets,son,122,"301-Other","746-Database Sets"
2009,746,Database Sets,son,122,"301-Other","746-Database Sets"
1965,746,Database Sets,son,122,"301-Other","746-Database Sets"
2018,746,Database Sets,son,122,"301-Other","746-Database Sets"
2001,741,Tabletop Games and Puzzles,son,41,"501-Gear","741-Tabletop Games and Puzzles"
1995,142,Spyrius,son,12,"126-Space","142-Spyrius"
2015,746,Database Sets,son,122,"301-Other","746-Database Sets"
2011,746,Database Sets,son,122,"301-Other","746-Database Sets"
1985,507,Educational and Dacta,grandfather,,,
2009,504,Duplo,grandfather,,,
2015,206,Seasonal,grandfather,,,
1997,507,Educational and Dacta,grandfather,,,
1987,507,Educational and Dacta,grandfather,,,
2024,206,Seasonal,grandfather,,,
2011,206,Seasonal,grandfather,,,
2012,507,Educational and Dacta,grandfather,,,
2024,696,Super Heroes Marvel,grandfather,,,
1989,507,Educational and Dacta,grandfather,,,
2022,696,Super Heroes Marvel,grandfather,,,
2021,504,Duplo,grandfather,,,
2009,52,City,father,,,
1997,186,Castle,father,,,
2000,1,Technic,father,,,
2015,501,Gear,father,,,
1995,307,Aquazone,father,,,
1999,507,Educational and Dacta,father,,,
1999,296,Adventurers,father,,,
1991,465,Universal Building Set,father,,,
2013,497,Books,father,,,
2015,22,Creator,father,,,
2006,112,Racers,father,,,
2008,34,Make & Create,father,,,
2017,22,Creator,father,,,
2003,507,Educational and Dacta,father,,,
1975,411,Legoland,father,,,
1991,126,Space,father,,,
2016,591,Juniors,father,,,
2016,608,Disney,father,,,
2000,465,Universal Building Set,father,,,
2017,501,Gear,father,,,
2002,279,"4 Juniors",father,,,
2016,501,Gear,father,,,
2019,52,City,father,,,
1993,507,Educational and Dacta,father,,,
2019,206,Seasonal,father,,,
2020,52,City,father,,,
1993,126,Space,father,,,
2020,408,LEGO Brand Store,father,,,
1994,50,Town,father,,,
1997,50,Town,father,,,
1954,365,System,father,,,
1992,50,Town,father,,,
1989,443,Service Packs,father,,,
2015,504,Duplo,father,,,
2016,504,Duplo,father,,,
1980,50,Town,father,,,
2012,504,Duplo,father,,,
1999,50,Town,father,,,
1966,365,System,father,,,
1962,365,System,father,,,
1993,504,Duplo,father,,,
1998,504,Duplo,father,,,
2002,504,Duplo,father,,,
1996,443,Service Packs,father,,,
1986,50,Town,father,,,
1982,507,Educational and Dacta,father,,,
1988,126,Space,father,,,
1980,233,Train,father,,,
1987,598,Promotional,father,,,
2003,501,Gear,father,,,
2022,497,Books,father,,,
2003,258,Mindstorms,father,,,
2023,52,City,father,,,
2023,535,Collectible Minifigures,father,,,
2017,695,Super Heroes DC,father,,,
2023,497,Books,father,,,
1989,1,Technic,father,,,
1992,126,Space,father,,,
1986,186,Castle,father,,,
2007,112,Racers,father,,,
2010,186,Castle,father,,,
1971,465,Universal Building Set,father,,,
1996,147,Pirates,father,,,
1989,465,Universal Building Set,father,,,
2005,324,Bionicle,father,,,
1965,365,System,father,,,
2002,158,Star Wars,father,,,
2006,324,Bionicle,father,,,
2013,696,Super Heroes Marvel,father,,,
2024,608,Disney,father,,,
1992,147,Pirates,father,,,
2023,608,Disney,father,,,
1991,233,Train,father,,,
1988,186,Castle,father,,,
1996,307,Aquazone,father,,,
1984,443,Service Packs,father,,,
1984,501,Gear,father,,,
2018,435,Ninjago,father,,,
2001,296,Adventurers,father,,,
2002,258,Mindstorms,father,,,
2018,252,Architecture,father,,,
2006,50,Town,father,,,
1994,1,Technic,father,,,
1995,1,Technic,father,,,
1968,365,System,father,,,
1987,126,Space,father,,,
2002,22,Creator,father,,,
2013,535,Collectible Minifigures,father,,,
1982,598,Promotional,father,,,
2006,158,Star Wars,father,,,
1967,501,Gear,father,,,
1998,458,Sports,father,,,
2008,50,Town,father,,,
2019,301,Other,father,,,
1967,233,Train,father,,,
1981,186,Castle,father,,,
2018,301,Other,father,,,
1978,233,Train,father,,,
1985,598,Promotional,father,,,
2006,301,Other,father,,,
1984,465,Universal Building Set,father,,,
2009,258,Mindstorms,father,,,
2015,301,Other,father,,,
2011,301,Other,father,,,
2009,439,Power Miners,son,,,
2007,34,Make & Create,son,,,
2005,52,City,son,,,
2015,598,Promotional,son,,,
1998,399,Freestyle,son,,,
2013,206,Seasonal,son,,,
2012,598,Promotional,son,,,
2014,598,Promotional,son,,,
2009,22,Creator,son,,,
1986,278,Model Team,son,,,
1992,1,Technic,son,,,
2013,435,Ninjago,son,,,
2003,34,Make & Create,son,,,
2014,252,Architecture,son,,,
2004,34,Make & Create,son,,,
1986,1,Technic,son,,,
2003,279,"4 Juniors",son,,,
2009,438,Power Functions,son,,,
2005,22,Creator,son,,,
2016,695,Super Heroes DC,son,,,
2008,425,Legoland Parks,son,,,
1992,507,Educational and Dacta,son,,,
2016,535,Collectible Minifigures,son,,,
2018,621,Classic,son,,,
2018,600,Elves,son,,,
2018,695,Super Heroes DC,son,,,
1998,668,Scala,son,,,
2001,668,Scala,son,,,
2019,686,Chinese Traditional Festivals,son,,,
2020,621,Classic,son,,,
2020,435,Ninjago,son,,,
1994,318,Belville,son,,,
1995,318,Belville,son,,,
1967,365,System,son,,,
2014,580,Mixels,son,,,
1974,364,Building Set with People,son,,,
2007,324,Bionicle,son,,,
2016,696,Super Heroes Marvel,son,,,
1998,50,Town,son,,,
2019,646,Xtra,son,,,
1977,443,Service Packs,son,,,
1980,443,Service Packs,son,,,
2020,646,Xtra,son,,,
2012,502,Games,son,,,
2012,599,LEGO Exclusive,son,,,
2018,206,Seasonal,son,,,
2021,608,Disney,son,,,
2020,709,LEGO Art,son,,,
2021,601,Speed Champions,son,,,
2012,52,City,son,,,
2001,504,Duplo,son,,,
2002,440,Primo,son,,,
2023,158,Star Wars,son,,,
2023,610,Brickheadz,son,,,
2002,501,Gear,son,,,
2016,425,Legoland Parks,son,,,
2024,246,Harry Potter,son,,,
2024,610,Brickheadz,son,,,
2024,501,Gear,son,,,
1978,465,Universal Building Set,son,,,
2015,591,Juniors,son,,,
1969,465,Universal Building Set,son,,,
2013,52,City,son,,,
1974,465,Universal Building Set,son,,,
2005,246,Harry Potter,son,,,
2009,155,Modular Buildings,son,,,
1979,405,Homemaker,son,,,
2017,576,LEGO Ideas and CUUSOO,son,,,
2018,601,Speed Champions,son,,,
2024,690,Super Mario,son,,,
1996,464,Time Cruisers,son,,,
1999,158,Star Wars,son,,,
2023,719,BrickLink Designer Program,son,,,
1960,507,Educational and Dacta,son,,,
2006,441,Quatro,son,,,
2019,275,Toy Story,son,,,
2020,695,Super Heroes DC,son,,,
2021,408,LEGO Brand Store,son,,,
2019,155,Modular Buildings,son,,,
2022,598,Promotional,son,,,
2017,155,Modular Buildings,son,,,
1958,365,System,son,,,
2001,233,Train,son,,,
1998,507,Educational and Dacta,son,,,
1990,1,Technic,son,,,
1980,390,Fabuland,son,,,
2016,599,LEGO Exclusive,son,,,
2017,600,Elves,son,,,
2020,22,Creator,son,,,
2022,206,Seasonal,son,,,
2018,504,Duplo,son,,,
1995,504,Duplo,son,,,
2022,252,Architecture,son,,,
1983,1,Technic,son,,,
2024,747,Sonic The Hedgehog,son,,,
2018,576,LEGO Ideas and CUUSOO,son,,,
2007,599,LEGO Exclusive,son,,,
2004,504,Duplo,son,,,
1998,278,Model Team,son,,,
2001,276,Sculptures,son,,,
2017,408,LEGO Brand Store,son,,,
2007,504,Duplo,son,,,
2010,425,Legoland Parks,son,,,
1994,278,Model Team,son,,,
1996,507,Educational and Dacta,son,,,
2005,599,LEGO Exclusive,son,,,
2011,576,LEGO Ideas and CUUSOO,son,,,
1995,126,Space,son,,,
1996,501,Gear,son,,,
2011,695,Super Heroes DC,son,,,
