"n_pieces","color_name","color_rgb"
296759,Red,C91A09
0,Modulex Foil Red,"8B0000"
7,Modulex Pink Red,F45C40
569,Sand Red,D67572
31,Vintage Red,CA1F08
31,Rust,B31004
9,HO Dark Red,"631314"
23,Fabuland Red,FF8014
2,HO Medium Red,c01111
25,Modulex Red,B52C20
19,Pearl Red,D60026
41991,Dark Red,"720E0F"
