"n_pieces","color_name","color_rgb"
23,Warm Tan,CCA373
3,HO Tan,E4CD9E
51679,Dark Tan,"958A73"
1,Light Tan,F3C988
4,HO Light Tan,f9f1c7
158508,Tan,E4CD9E
