"year","version","max_version","n_sets_year","bigger_set","n_sets_year_theme","n_sets_year_parent","theme_name","parent_theme_name","img_url","num_parts"
1979,1,1,104,512,14,14,Expert Builder,Technic,https://cdn.rebrickable.com/media/sets/955-1.jpg,512
1999,1,1,367,1406,30,139,Technic,Technic,https://cdn.rebrickable.com/media/sets/8448-1.jpg,1406
2009,1,1,536,3261,2,12,Creator Expert,Creator,https://cdn.rebrickable.com/media/sets/10196-1.jpg,3261
2011,2,2,629,3152,2,2,Ultimate Collector Series,Star Wars,https://cdn.rebrickable.com/media/sets/10221-1.jpg,3152
2018,2,2,968,6020,21,500,Harry Potter,Harry Potter,https://cdn.rebrickable.com/media/sets/71043-1.jpg,6020
1949,1,1,7,178,5,5,System,System,https://cdn.rebrickable.com/media/sets/700.2-1.jpg,178
1972,1,1,43,901,2,2,Learning,Educational and Dacta,https://cdn.rebrickable.com/media/sets/1513-1.jpg,901
1988,1,1,85,898,7,18,Technic,Technic,https://cdn.rebrickable.com/media/sets/8865-1.jpg,898
1958,4,4,135,149,17,125,Town Plan,System,https://cdn.rebrickable.com/media/sets/309-2.jpg,149
1971,1,1,59,917,16,18,Samsonite,System,https://cdn.rebrickable.com/media/sets/105-3.jpg,917
1994,2,2,170,1346,35,22,Technic,Technic,https://cdn.rebrickable.com/media/sets/8880-1.jpg,1346
1998,1,1,404,1712,8,8,RCX,Mindstorms,https://cdn.rebrickable.com/media/sets/9780-1.jpg,1712
2007,1,1,448,5198,2,2,Ultimate Collector Series,Star Wars,https://cdn.rebrickable.com/media/sets/10179-1.jpg,5198
2016,1,1,902,4642,2,429,Ghostbusters,Ghostbusters,https://cdn.rebrickable.com/media/sets/75827-1.jpg,4642
2022,1,1,1009,10001,14,539,Icons,Icons,https://cdn.rebrickable.com/media/sets/10307-1.jpg,10001
