"n_pieces","color_name","color_rgb"
1307,Vibrant Yellow,EBD800
24,Vintage Yellow,F3C305
0,Modulex Foil Yellow,FED557
8441,Bright Light Yellow,FFF03A
348,Light Yellow,FBE696
192585,Yellow,F2CD37
22,Clikits Yellow,FFCF0B
8,Modulex Light Yellow,FFE371
1,HO Light Yellow,f5fab7
1107,Modulex Ochre Yellow,FED557
