"n_pieces","color_name","color_rgb"
1625,Modulex Buff,DEC69C
137418,Reddish Brown,"582A12"
55,Fabuland Brown,B67B50
1617,Nougat,D09168
2223,Modulex Brown,"907450"
17590,Dark Brown,"352100"
27486,Medium Nougat,AA7D55
2881,Light Nougat,F6D7B3
10,Dark Nougat,AD6140
0,Umber Brown,"5E3F33"
9607,Brown,"583927"
42,Chrome Antique Brass,"645A4C"
0,Sienna Brown,"915C3C"
1,HO Light Brown,"965336"
33,Pearl Brown,"57392C"
147,Light Brown,"7C503A"
16,Medium Brown,"755945"
161,Modulex Tile Brown,"330000"
