"weight","source","source_id","source_name","target","target_id","target_name"
18,"1-Technic",1,Technic,"3-Competition",3,Competition
21,"206-Seasonal",206,Seasonal,"232-Valentine",232,Valentine
82,"147-Pirates",147,Pirates,"148-Pirates I",148,Pirates I
14,"411-Legoland",411,Legoland,"417-Fire",417,Fire
5,"307-Aquazone",307,Aquazone,"313-Stingrays",313,Stingrays
15,"252-Architecture",252,Architecture,"253-Skylines",253,Skylines
8,"591-Juniors",591,Juniors,"595-Friends",595,Friends
11,"52-City",52,City,"64-Off-Road",64,Off-Road
99,"501-Gear",501,Gear,"735-Plush Toys",735,Plush Toys
38,"598-Promotional",598,Promotional,"157-Bricktober",157,Bricktober
47,"50-Town",50,Town,"105-World City",105,World City
18,"504-Duplo",504,Duplo,"631-Thomas & Friends",631,Thomas & Friends
73,"504-Duplo",504,Duplo,"634-Trains",634,Trains
23,"504-Duplo",504,Duplo,"663-Rattles",663,Rattles
207,-,,,"112-Racers",112,Racers
4,-,,,"590-Fusion",590,Fusion
78,-,,,"621-Classic",621,Classic
39,-,,,"535-Collectible Minifigures",535,Collectible Minifigures
13,-,,,"407-Island Xtreme Stunts",407,Island Xtreme Stunts
31,-,,,"434-Ninja",434,Ninja
26,-,,,"625-Unikitty!",625,Unikitty!
64,-,,,"599-LEGO Exclusive",599,LEGO Exclusive
22,-,,,"685-Galidor",685,Galidor
105,"126-Space",126,Space,"130-Classic Space",130,Classic Space
37,"22-Creator",22,Creator,"674-Early Creator",674,Early Creator
12,"126-Space",126,Space,"142-Spyrius",142,Spyrius
10,"126-Space",126,Space,"127-Alien Conquest",127,Alien Conquest
11,"465-Universal Building Set",465,Universal Building Set,"472-Gears",472,Gears
3,"591-Juniors",591,Juniors,"620-Jurassic World: Fallen Kingdom",620,Jurassic World: Fallen Kingdom
21,-,,,"432-Master Builder Academy",432,Master Builder Academy
60,-,,,"365-System",365,System
35,-,,,"50-Town",50,Town
65,"501-Gear",501,Gear,"738-Seasonal",738,Seasonal
16,"535-Collectible Minifigures",535,Collectible Minifigures,"725-Series 23 Minifigures",725,Series 23 Minifigures
66,-,,,"721-Icons",721,Icons
6,-,,,"126-Space",126,Space
9,-,,,"752-Animal Crossing",752,Animal Crossing
7,"504-Duplo",504,Duplo,"662-Princess Castle",662,Princess Castle
5,"50-Town",50,Town,"89-Outback",89,Outback
2,-,,,"654-The Powerpuff Girls",654,The Powerpuff Girls
22,"50-Town",50,Town,"93-Space Port",93,Space Port
1,"411-Legoland",411,Legoland,"414-Castle",414,Castle
44,"697-Batman",697,Batman,"708-The LEGO Batman Movie",708,The LEGO Batman Movie
3,"754-Disney",754,Disney,"629-Miles From Tomorrowland",629,Miles From Tomorrowland
4,"207-Advent",207,Advent,"214-Creator",214,Creator
36,"227-Christmas",227,Christmas,"228-Creator",228,Creator
13,"207-Advent",207,Advent,"216-Friends",216,Friends
18,"754-Disney",754,Disney,"641-Mickey & Friends",641,Mickey & Friends
