"weight","source","target","step_from","step_to"
19,535,549,0,1
26,22,478,0,1
19,535,538,0,1
223,501,737,0,1
22,258,260,0,1
31,411,423,0,1
17,1,20,0,1
19,535,541,0,1
256,22,672,0,1
45,400,401,0,1
21,206,232,0,1
254,497,759,0,1
20,535,622,0,1
4,126,138,0,1
452,50,67,0,1
531,365,371,0,1
21,50,87,0,1
16,50,91,0,1
10,504,665,0,1
83,500,500,0,1
31,434,434,0,1
103,571,571,0,1
22,275,275,0,1
16,186,186,0,1
10,437,437,0,1
26,625,625,0,1
27,686,686,0,1
2,560,560,0,1
105,126,130,0,1
21,52,57,0,1
20,126,132,0,1
75,501,730,0,1
22,363,363,0,1
18,709,709,0,1
19,535,536,0,1
4,411,424,0,1
9,411,420,0,1
2,273,274,0,1
12,126,146,0,1
7,307,312,0,1
9,52,54,0,1
17,535,750,0,1
35,458,459,0,1
2,317,317,0,1
50,713,713,0,1
5,507,529,0,1
36,206,227,0,1
36,186,193,0,1
106,233,236,0,1
163,206,227,0,1
166,501,740,0,1
87,507,524,0,1
23,535,609,0,1
46,501,741,0,1
15,608,388,0,1
3,411,419,0,1
53,465,470,0,1
10,497,498,0,1
37,112,114,0,1
10,296,299,0,1
28,126,129,0,1
19,535,542,0,1
29,279,280,0,1
22,52,59,0,1
5,591,593,0,1
16,52,679,0,1
388,504,505,0,1
6,324,360,0,1
16,504,647,0,1
16,504,658,0,1
23,504,663,0,1
207,112,112,0,1
245,52,52,0,1
21,559,559,0,1
105,390,390,0,1
52,34,34,0,1
56,502,502,0,1
65,399,399,0,1
59,425,425,0,1
39,535,535,0,1
32,695,695,0,1
21,438,438,0,1
52,22,204,0,1
20,535,692,0,1
143,504,504,0,1
19,646,646,0,1
2,607,607,0,1
65,501,738,0,1
16,535,725,0,1
38,719,719,0,1
25,186,196,0,1
3,186,191,0,1
9,186,201,0,1
16,535,762,0,1
9,126,131,0,1
7,276,277,0,1
6,50,88,0,1
12,617,617,0,1
7,233,233,0,1
9,504,653,0,1
5,591,592,0,1
7,504,662,0,1
10,689,689,0,1
10,126,140,0,1
11,458,460,0,1
149,365,756,0,1
3,279,287,0,1
13,504,664,0,1
1,764,764,0,1
15,272,272,0,1
9,474,474,0,1
18,504,754,0,1
11,504,632,0,1
4,206,207,0,1
16,507,518,0,1
4,504,754,0,1
351,501,733,0,1
200,52,61,0,1
21,186,197,0,1
11,1,18,0,1
28,296,300,0,1
7,186,194,0,1
65,233,234,0,1
6,126,139,0,1
26,411,413,0,1
204,465,467,0,1
86,186,198,0,1
150,497,758,0,1
21,535,555,0,1
85,501,736,0,1
34,608,687,0,1
2,507,511,0,1
31,206,230,0,1
11,307,310,0,1
11,52,64,0,1
21,126,137,0,1
100,608,579,0,1
10,52,614,0,1
21,507,534,0,1
30,507,528,0,1
47,50,105,0,1
152,443,453,0,1
76,443,456,0,1
58,389,389,0,1
28,439,439,0,1
26,475,475,0,1
175,598,598,0,1
24,570,570,0,1
4,717,717,0,1
18,278,278,0,1
52,252,252,0,1
17,598,471,0,1
12,535,546,0,1
8,186,189,0,1
10,126,127,0,1
11,465,472,0,1
122,580,580,0,1
3,680,680,0,1
21,683,683,0,1
59,693,693,0,1
19,296,298,0,1
14641,,,0,1
16,535,743,0,1
4,591,597,0,1
9,304,306,0,1
12,50,86,0,1
6,126,126,0,1
17,386,386,0,1
9,504,657,0,1
10,504,660,0,1
3,258,261,0,1
16,535,712,0,1
3,186,203,0,1
215,365,368,0,1
19,535,547,0,1
10,147,154,0,1
4,206,207,0,1
1,206,207,0,1
88,52,56,0,1
19,535,537,0,1
25,561,562,0,1
40,52,53,0,1
134,501,734,0,1
12,411,421,0,1
43,411,416,0,1
82,147,148,0,1
14,411,417,0,1
17,598,729,0,1
18,695,700,0,1
18,147,153,0,1
103,497,757,0,1
371,501,739,0,1
23,535,618,0,1
2,246,667,0,1
25,507,518,0,1
57,365,372,0,1
31,504,626,0,1
8,696,705,0,1
5,504,722,0,1
97,507,507,0,1
669,501,501,0,1
50,206,206,0,1
27,155,155,0,1
4,463,463,0,1
16,558,558,0,1
166,610,610,0,1
22,685,685,0,1
92,233,235,0,1
12,126,142,0,1
20,608,263,0,1
474,324,324,0,1
20,535,681,0,1
188,716,716,0,1
19,126,134,0,1
8,696,707,0,1
11,50,51,0,1
5,258,258,0,1
10,603,603,0,1
8,694,694,0,1
9,724,724,0,1
7,748,748,0,1
109,458,462,0,1
18,458,461,0,1
122,301,746,0,1
3,504,639,0,1
44,258,259,0,1
21,535,545,0,1
5,458,458,0,1
7,695,697,0,1
6,206,207,0,1
58,507,529,0,1
6,507,526,0,1
19,535,553,0,1
18,411,412,0,1
19,535,554,0,1
298,507,516,0,1
21,561,566,0,1
8,591,595,0,1
19,535,539,0,1
25,535,656,0,1
42,578,670,0,1
15,438,655,0,1
21,112,118,0,1
38,598,157,0,1
13,50,92,0,1
51,158,171,0,1
73,504,634,0,1
6,504,659,0,1
3,504,666,0,1
31,315,315,0,1
68,604,604,0,1
4,590,590,0,1
33,578,578,0,1
77,601,601,0,1
44,600,600,0,1
110,605,605,0,1
195,408,408,0,1
83,576,576,0,1
7,397,397,0,1
8,575,575,0,1
17,442,442,0,1
104,398,398,0,1
8,304,304,0,1
29,1,16,0,1
5,1,17,0,1
19,535,611,0,1
3,591,620,0,1
278,443,443,0,1
35,50,50,0,1
147,577,577,0,1
13,669,669,0,1
49,608,608,0,1
66,721,721,0,1
38,749,749,0,1
16,126,143,0,1
19,535,557,0,1
14,258,262,0,1
7,186,187,0,1
7,365,369,0,1
9,464,464,0,1
1,411,415,0,1
3,307,309,0,1
1,233,241,0,1
22,50,93,0,1
124,696,702,0,1
9,504,630,0,1
6,411,418,0,1
4,22,406,0,1
60,504,652,0,1
44,695,697,0,1
86,504,632,0,1
9,507,518,0,1
1,206,207,0,1
1,206,207,0,1
19,535,548,0,1
23,535,711,0,1
8,206,231,0,1
96,465,473,0,1
28,52,55,0,1
8,307,308,0,1
31,571,572,0,1
16,186,188,0,1
154,408,409,0,1
212,497,760,0,1
10,112,123,0,1
18,1,3,0,1
50,206,229,0,1
23,507,510,0,1
32,408,410,0,1
17,1,19,0,1
5,307,313,0,1
62,52,63,0,1
5,307,311,0,1
17,304,305,0,1
25,52,65,0,1
289,501,742,0,1
370,504,632,0,1
40,50,94,0,1
4,504,651,0,1
18,504,631,0,1
16,504,661,0,1
95,318,318,0,1
35,269,269,0,1
136,254,254,0,1
19,480,480,0,1
462,1,1,0,1
78,621,621,0,1
19,433,433,0,1
12,404,404,0,1
64,599,599,0,1
9,682,682,0,1
92,688,688,0,1
19,535,551,0,1
21,535,677,0,1
37,52,66,0,1
60,365,365,0,1
101,602,602,0,1
162,690,690,0,1
4,126,145,0,1
11,441,441,0,1
4,591,596,0,1
21,126,141,0,1
14,302,302,0,1
9,752,752,0,1
33,507,509,0,1
5,504,628,0,1
4,671,671,0,1
5,50,89,0,1
3,276,276,0,1
1,155,156,0,1
2,507,523,0,1
8,481,481,0,1
1,307,307,0,1
1,50,104,0,1
16,535,714,0,1
16,535,720,0,1
9,126,128,0,1
3,411,422,0,1
282,507,524,0,1
40,507,518,0,1
21,504,754,0,1
3,504,754,0,1
2,206,207,0,1
13,206,207,0,1
18,504,754,0,1
6,504,754,0,1
48,1,4,0,1
69,34,35,0,1
30,126,135,0,1
26,296,297,0,1
23,1,21,0,1
19,535,543,0,1
19,535,556,0,1
11,126,133,0,1
15,252,253,0,1
35,435,616,0,1
375,497,761,0,1
23,535,675,0,1
100,501,731,0,1
21,50,90,0,1
22,50,106,0,1
8,387,387,0,1
65,465,465,0,1
33,591,591,0,1
572,435,435,0,1
53,273,273,0,1
13,407,407,0,1
74,668,668,0,1
35,676,676,0,1
19,535,550,0,1
37,22,674,0,1
30,364,364,0,1
71,696,696,0,1
141,440,440,0,1
16,535,715,0,1
28,52,744,0,1
15,696,704,0,1
5,763,763,0,1
2,654,654,0,1
22,535,745,0,1
1,411,414,0,1
10,507,529,0,1
19,504,754,0,1
15,206,207,0,1
4,504,754,0,1
2,206,207,0,1
120,52,58,0,1
14,695,701,0,1
17,186,195,0,1
11,126,136,0,1
124,695,697,0,1
7,608,271,0,1
67,22,673,0,1
19,535,552,0,1
27,186,199,0,1
15,302,303,0,1
728,501,503,0,1
214,501,732,0,1
36,400,403,0,1
16,571,573,0,1
9,507,517,0,1
25,112,122,0,1
14,186,190,0,1
8,591,615,0,1
99,501,735,0,1
19,535,540,0,1
18,408,619,0,1
19,535,691,0,1
98,696,706,0,1
27,264,264,0,1
185,22,22,0,1
732,494,494,0,1
34,400,400,0,1
183,246,246,0,1
24,279,279,0,1
33,405,405,0,1
6,606,606,0,1
19,126,144,0,1
36,507,533,0,1
24,52,60,0,1
19,598,728,0,1
5,206,207,0,1
20,535,684,0,1
996,158,158,0,1
21,432,432,0,1
12,385,385,0,1
16,535,718,0,1
16,535,753,0,1
19,324,341,0,1
11,747,747,0,1
6,270,270,0,1
19,535,544,0,1
140,301,301,0,1
7,504,754,0,1
22,206,207,0,1
10,696,706,0,1
