"weight","source","target","step_from","step_to"
351,Gear,Houseware,0,1
19,Collectible Minifigures,Series 12 Minifigures,0,1
19,Collectible Minifigures,The LEGO Movie,0,1
88,City,Construction,0,1
163,Seasonal,Christmas,0,1
21,Castle,Knights Kingdom I,0,1
11,Technic,Star Wars,0,1
23,Collectible Minifigures,The LEGO Batman Movie Series 2,0,1
14,Super Heroes DC,Superman,0,1
48,Technic,Expert Builder,0,1
96,Universal Building Set,Supplemental,0,1
27,Castle,Lion Knights,0,1
19,Collectible Minifigures,The Simpsons Series 2,0,1
728,Gear,Key Chain,0,1
12,Legoland,Police,0,1
37,Racers,Ferrari,0,1
19,Collectible Minifigures,Series 15 Minifigures,0,1
21,The Hobbit and Lord of the Rings,The Lord of the Rings,0,1
10,Adventurers,Jungle,0,1
17,Promotional,Airlines,0,1
18,Pirates,Pirates II,0,1
10,City,Jungle,0,1
8,Juniors,Cars,0,1
22,City,Harbor,0,1
25,City,Arctic,0,1
23,Collectible Minifigures,The LEGO Movie II,0,1
100,Gear,Bag and Luggage Tags,0,1
76,Service Packs,Train,0,1
98,Super Heroes Marvel,Spider-Man,0,1
16,Town,Race,0,1
6,Duplo,Dolls,0,1
207,Racers,Racers,0,1
21,Value Packs,Value Packs,0,1
185,Creator,Creator,0,1
31,Atlantis,Atlantis,0,1
175,Promotional,Promotional,0,1
19,Minitalia,Minitalia,0,1
4,Speed Racer,Speed Racer,0,1
22,Toy Story,Toy Story,0,1
8,The Lone Ranger,The Lone Ranger,0,1
64,LEGO Exclusive,LEGO Exclusive,0,1
52,Creator,Designer Sets,0,1
92,Train,"4.5V",0,1
20,Disney,Pirates of the Caribbean,0,1
10,Space,Alien Conquest,0,1
20,Collectible Minifigures,DC Super Heroes,0,1
474,Bionicle,Bionicle,0,1
141,Primo,Primo,0,1
14641,,,0,1
49,Disney,Disney,0,1
4,Legoland,Western,0,1
16,Collectible Minifigures,Series 26 Minifigures,0,1
15,Super Heroes Marvel,Guardians of the Galaxy,0,1
9,Animal Crossing,Animal Crossing,0,1
33,Educational and Dacta,SPIKE,0,1
4,Forma,Forma,0,1
22,Town,Space Port,0,1
3,Duplo,Sofia the First,0,1
44,Mindstorms,NXT,0,1
4,Creator,Inventor,0,1
9,Vikings,Vikings,0,1
5,Educational and Dacta,Technic,0,1
16,Educational and Dacta,Mindstorms,0,1
13,Seasonal,Advent,0,1
10,Super Heroes Marvel,Spider-Man,0,1
2,Seasonal,Advent,0,1
26,Creator,X-Pod,0,1
19,Collectible Minifigures,Series 3 Minifigures,0,1
11,Space,M:Tron,0,1
7,Castle,Forestmen,0,1
22,Mindstorms,RCX,0,1
204,Universal Building Set,Basic,0,1
19,Collectible Minifigures,Series 14 Minifigures,0,1
30,Space,Life On Mars,0,1
23,Technic,Universal Building Set,0,1
31,Legends of Chima,Speedorz,0,1
150,Books,Non-fiction Books,0,1
154,LEGO Brand Store,Monthly Mini Model Build,0,1
34,Disney,Frozen,0,1
14,Legoland,Fire,0,1
31,Seasonal,Halloween,0,1
28,Space,Blacktron II,0,1
18,Super Heroes DC,Justice League,0,1
35,Ninjago,The LEGO Ninjago Movie,0,1
38,Promotional,Bricktober,0,1
47,Town,World City,0,1
57,System,Town Plan,0,1
6,Bionicle,Protectors,0,1
732,Friends,Friends,0,1
83,Clikits,Clikits,0,1
44,Elves,Elves,0,1
4,Spybotics,Spybotics,0,1
17,Rock Raiders,Rock Raiders,0,1
12,Hobby Sets,Hobby Sets,0,1
26,Unikitty!,Unikitty!,0,1
74,Scala,Scala,0,1
9,Trolls: World Tour,Trolls: World Tour,0,1
104,FIRST LEGO League,FIRST LEGO League,0,1
