"weight","source","target","step_from","step_to"
92,DOTS,DOTS,0,1
105,Space,Classic Space,0,1
21,City,Farm,0,1
12,Space,Spyrius,0,1
24,City,Hospital,0,1
122,Mixels,Mixels,0,1
22,Boat,Boat,0,1
2,Ghostbusters,Ghostbusters,0,1
12,Space,Galaxy Squad,0,1
7,Castle,Black Falcons,0,1
5,Duplo,Dora the Explorer,0,1
3,Mindstorms,Star Wars,0,1
9,Avatar,Avatar,0,1
1,Legoland,Coast Guard,0,1
3,Sculptures,Sculptures,0,1
2,The Powerpuff Girls,The Powerpuff Girls,0,1
11,Sports,Gravity Games,0,1
124,Super Heroes Marvel,Avengers,0,1
13,Duplo,Toolo,0,1
3,Legoland,Space,0,1
140,Other,Other,0,1
5,Sports,Sports,0,1
50,VIDIYO,VIDIYO,0,1
86,Duplo,Town,0,1
4,Seasonal,Advent,0,1
9,Educational and Dacta,Mindstorms,0,1
8,Seasonal,Thanksgiving,0,1
26,Legoland,Building,0,1
166,Gear,Storage,0,1
23,Collectible Minifigures,The LEGO Batman Movie Series 1,0,1
25,The Hobbit and Lord of the Rings,The Hobbit,0,1
6,Educational and Dacta,Soft Bricks,0,1
19,Collectible Minifigures,Series 6 Minifigures,0,1
134,Gear,Magnets,0,1
53,Universal Building Set,Classic Basic,0,1
212,Books,Activity Books,0,1
10,Racers,World Racers,0,1
82,Pirates,Pirates I,0,1
16,Legends of Chima,Constraction,0,1
8,Juniors,Friends,0,1
19,Collectible Minifigures,Series 7 Minifigures,0,1
11,City,Off-Road,0,1
29,"4 Juniors",Jack Stone,0,1
25,Educational and Dacta,Mindstorms,0,1
289,Gear,Video Games and Accessories,0,1
4,Space,RoboForce,0,1
452,Town,Classic Town,0,1
370,Duplo,Town,0,1
21,Town,Paradisa,0,1
8,Super Heroes Marvel,Iron Man,0,1
16,Duplo,Castle,0,1
58,Exo-Force,Exo-Force,0,1
8,Discovery,Discovery,0,1
19,Znap,Znap,0,1
462,Technic,Technic,0,1
78,Classic,Classic,0,1
59,Legoland Parks,Legoland Parks,0,1
18,Model Team,Model Team,0,1
33,Homemaker,Homemaker,0,1
52,Architecture,Architecture,0,1
32,Super Heroes DC,Super Heroes DC,0,1
16,Castle,Castle,0,1
3,Juniors,Jurassic World: Fallen Kingdom,0,1
20,Collectible Minifigures,Series 20 Minifigures,0,1
996,Star Wars,Star Wars,0,1
143,Duplo,Duplo,0,1
35,Town,Town,0,1
11,Quatro,Quatro,0,1
16,Collectible Minifigures,Series 23 Minifigures,0,1
25,Castle,Kingdoms,0,1
19,Space,Insectoids,0,1
9,City,Cargo,0,1
17,Dinosaurs,Dinosaurs,0,1
7,Duplo,Princess Castle,0,1
10,Space,Space Police II,0,1
16,Collectible Minifigures,The Muppets,0,1
215,System,HO 1:87 Vehicles,0,1
22,Collectible Minifigures,Disney 100,0,1
15,SpongeBob SquarePants,SpongeBob SquarePants,0,1
44,Super Heroes DC,Batman,0,1
18,Duplo,Disney,0,1
4,Duplo,Disney,0,1
6,Seasonal,Advent,0,1
120,City,Fire,0,1
28,Adventurers,Orient Expedition,0,1
223,Gear,Role Play Toys and Costumes,0,1
7,Disney,Prince of Persia,0,1
19,Collectible Minifigures,Series 2 Minifigures,0,1
67,Creator,Creator Expert,0,1
28,City,Coast Guard,0,1
10,Books,Technic,0,1
18,Technic,Competition,0,1
21,Seasonal,Valentine,0,1
17,Technic,Supplemental,0,1
36,Hero Factory,Villains,0,1
11,Space,Ice Planet 2002,0,1
17,Alpha Team,Mission Deep Sea,0,1
20,Collectible Minifigures,Series 18 Minifigures,0,1
2,Harry Potter,Fantastic Beasts,0,1
375,Books,Activity Books with LEGO Parts,0,1
15,Power Functions,Powered Up,0,1
531,System,Supplemental,0,1
4,Duplo,Pirates,0,1
13,Town,Res-Q,0,1
388,Duplo,Basic Set,0,1
3,Duplo,Zooters,0,1
10,Duplo,Western,0,1
23,Duplo,Rattles,0,1
27,Indiana Jones,Indiana Jones,0,1
26,Western,Western,0,1
50,Seasonal,Seasonal,0,1
31,Ninja,Ninja,0,1
83,LEGO Ideas and CUUSOO,LEGO Ideas and CUUSOO,0,1
27,Modular Buildings,Modular Buildings,0,1
21,Power Functions,Power Functions,0,1
166,Brickheadz,Brickheadz,0,1
22,Galidor,Galidor,0,1
19,Space,UFO,0,1
29,Technic,RoboRiders,0,1
19,Collectible Minifigures,Series 13 Minifigures,0,1
19,Promotional,McDonalds,0,1
162,Super Mario,Super Mario,0,1
28,City,Stuntz,0,1
20,Collectible Minifigures,Series 19 Minifigures,0,1
16,Space,Supplemental,0,1
9,Legoland,Hospital,0,1
19,Collectible Minifigures,DFB Minifigures,0,1
9,Castle,Royal Knights,0,1
21,Space,Space Police III,0,1
7,Sculptures,Mosaic,0,1
19,Bionicle,Playsets,0,1
7,Train,Train,0,1
10,Scooby-Doo,Scooby-Doo,0,1
10,Minions,Minions,0,1
2,Educational and Dacta,Samsonite,0,1
1,Train,Supplemental,0,1
109,Sports,Soccer,0,1
18,Sports,Hockey,0,1
1,Town,Town Plan,0,1
6,Legoland,Gas Station,0,1
10,Pirates,Pirates III,0,1
21,Duplo,Disney,0,1
3,Duplo,Disney,0,1
36,Seasonal,Christmas,0,1
200,City,Police,0,1
124,Super Heroes DC,Batman,0,1
65,Train,"12V",0,1
6,Space,Space Police I,0,1
15,Disney,Mickey Mouse,0,1
3,Legoland,Harbor,0,1
21,Collectible Minifigures,Disney Series 1,0,1
43,Legoland,Construction,0,1
50,Seasonal,Easter,0,1
32,LEGO Brand Store,Pick A Model,0,1
15,Architecture,Skylines,0,1
21,Space,Mars Mission,0,1
103,Books,Ideas Books,0,1
23,Collectible Minifigures,The LEGO Ninjago Movie,0,1
18,LEGO Brand Store,Cities of Wonders,0,1
16,City,Mars Exploration,0,1
18,Duplo,Thomas & Friends,0,1
68,Dimensions,Dimensions,0,1
33,The LEGO Movie,The LEGO Movie,0,1
105,Fabuland,Fabuland,0,1
669,Gear,Gear,0,1
52,Make & Create,Make & Create,0,1
65,Freestyle,Freestyle,0,1
572,Ninjago,Ninjago,0,1
53,Studios,Studios,0,1
13,Island Xtreme Stunts,Island Xtreme Stunts,0,1
6,Angry Birds,Angry Birds,0,1
27,Chinese Traditional Festivals,Chinese Traditional Festivals,0,1
8,Castle,Classic Castle,0,1
20,Space,Futuron,0,1
75,Gear,Audio and Visual Media,0,1
11,Universal Building Set,Gears,0,1
21,Master Builder Academy,Master Builder Academy,0,1
59,Monkie Kid,Monkie Kid,0,1
4,Space,Unitron,0,1
188,Modulex,Modulex,0,1
16,Collectible Minifigures,Series 24 Minifigures,0,1
16,Collectible Minifigures,Series 25 Minifigures,0,1
9,Space,Exploriens,0,1
8,Super Heroes Marvel,X-Men,0,1
12,Town,Divers,0,1
6,Space,Space,0,1
9,Duplo,Action Wheelers,0,1
10,Duplo,Little Forest Friends,0,1
5,Juniors,DC Comics Super Heroes,0,1
16,Collectible Minifigures,Series 21 Minifigures,0,1
3,Aquazone,Aquaraiders I,0,1
35,Sports,Basketball,0,1
2,Avatar: The Last Airbender,Avatar: The Last Airbender,0,1
7,Super Heroes DC,Batman,0,1
18,Duplo,Disney,0,1
4,Duplo,Disney,0,1
1,Seasonal,Advent,0,1
1,Seasonal,Advent,0,1
106,Train,"9V",0,1
58,Educational and Dacta,Technic,0,1
17,Castle,Fright Knights,0,1
31,Legoland,Vehicle,0,1
69,Make & Create,Bricks & More,0,1
17,Technic,Throwbot Slizer,0,1
19,Collectible Minifigures,Series 16 Minifigures,0,1
85,Gear,Posters and Art Prints,0,1
9,Educational and Dacta,Learning,0,1
19,Collectible Minifigures,Series 4 Minifigures,0,1
5,Aquazone,Aquasharks,0,1
25,Collectible Minifigures,Harry Potter and Fantastic Beasts Series 1,0,1
99,Gear,Plush Toys,0,1
42,The LEGO Movie,The LEGO Movie II,0,1
21,Racers,Promotional,0,1
19,Collectible Minifigures,Series 5 Minifigures,0,1
40,Town,Town Jr.,0,1
73,Duplo,Trains,0,1
245,City,City,0,1
95,Belville,Belville,0,1
77,Speed Champions,Speed Champions,0,1
33,Juniors,Juniors,0,1
110,Nexo Knights,Nexo Knights,0,1
103,Legends of Chima,Legends of Chima,0,1
7,Factory,Factory,0,1
16,Monster Fighters,Monster Fighters,0,1
10,Pharaoh's Quest,Pharaoh's Quest,0,1
19,Collectible Minifigures,The Simpsons Series 1,0,1
36,Educational and Dacta,Town,0,1
21,Collectible Minifigures,Disney Series 2,0,1
60,System,System,0,1
71,Super Heroes Marvel,Super Heroes Marvel,0,1
13,Overwatch,Overwatch,0,1
3,Stranger Things,Stranger Things,0,1
21,LEGO Originals,LEGO Originals,0,1
19,Adventurers,Dino Island,0,1
65,Gear,Seasonal,0,1
18,LEGO Art,LEGO Art,0,1
38,BrickLink Designer Program,BrickLink Designer Program,0,1
14,Mindstorms,EV3,0,1
4,Juniors,Marvel Super Heroes,0,1
7,System,Jumbo Bricks,0,1
5,Mindstorms,Mindstorms,0,1
11,Sonic The Hedgehog,Sonic The Hedgehog,0,1
5,Despicable Me 4,Despicable Me 4,0,1
9,Time Cruisers,Time Cruisers,0,1
9,Duplo,DC Comics,0,1
7,Gabby's Dollhouse,Gabby's Dollhouse,0,1
6,Ben 10,Ben 10,0,1
5,Town,Outback,0,1
1,Aquazone,Aquazone,0,1
9,Duplo,Marvel,0,1
19,Collectible Minifigures,Series 9 Minifigures,0,1
19,Collectible Minifigures,Series 11 Minifigures,0,1
3,"4 Juniors",Spider-Man,0,1
21,Collectible Minifigures,Series 10 Minifigures,0,1
60,Duplo,Playhouse,0,1
19,Duplo,Disney,0,1
6,Duplo,Disney,0,1
36,Castle,Fantasy Era,0,1
87,Educational and Dacta,Service Packs,0,1
26,Adventurers,Desert,0,1
256,Creator,Creator 3-in-1,0,1
8,Aquazone,Aquanauts,0,1
18,Legoland,Airport,0,1
214,Gear,Clocks and Watches,0,1
298,Educational and Dacta,Duplo and Explore,0,1
2,Educational and Dacta,Building Set with People,0,1
5,Aquazone,Stingrays,0,1
25,Racers,RC,0,1
100,Disney,Disney Princess,0,1
254,Books,Story Books,0,1
5,Juniors,Disney Princess,0,1
30,Educational and Dacta,Supplemental,0,1
19,Collectible Minifigures,Harry Potter and Fantastic Beasts Series 2,0,1
21,Town,Extreme Team,0,1
97,Educational and Dacta,Educational and Dacta,0,1
35,Cars,Cars,0,1
4,Fusion,Fusion,0,1
65,Universal Building Set,Universal Building Set,0,1
183,Harry Potter,Harry Potter,0,1
136,Bulk Bricks,Bulk Bricks,0,1
24,Teenage Mutant Ninja Turtles,Teenage Mutant Ninja Turtles,0,1
195,LEGO Brand Store,LEGO Brand Store,0,1
24,"4 Juniors","4 Juniors",0,1
2,Universe,Universe,0,1
17,Promotional,Ferries,0,1
12,Collectible Minifigures,Team GB,0,1
19,Xtra,Xtra,0,1
16,Collectible Minifigures,Marvel Series 1,0,1
66,Icons,Icons,0,1
38,Dreamzzz,Dreamzzz,0,1
9,Alpha Team,Mission Deep Freeze,0,1
3,Castle,Dark Forest,0,1
7,Aquazone,Hydronauts,0,1
12,DC Super Hero Girls,DC Super Hero Girls,0,1
8,Brick Sketches,Brick Sketches,0,1
17,Collectible Minifigures,Marvel Series 2,0,1
3,Castle,Wolfpack,0,1
149,System,Samsonite,0,1
9,Space,Blacktron I,0,1
40,Educational and Dacta,Mindstorms,0,1
7,Duplo,Disney,0,1
15,Seasonal,Advent,0,1
2,Seasonal,Advent,0,1
40,City,Airport,0,1
15,Agents,Ultra Agents,0,1
46,Gear,Tabletop Games and Puzzles,0,1
16,Castle,Black Knights,0,1
19,Collectible Minifigures,Series 8 Minifigures,0,1
86,Castle,Knights Kingdom II,0,1
45,Hero Factory,Heroes,0,1
23,Educational and Dacta,Serious Play,0,1
62,City,Traffic,0,1
11,Aquazone,Aquaraiders II,0,1
14,Castle,Dragon Knights,0,1
371,Gear,Stationery and Office Supplies,0,1
21,Educational and Dacta,Universal Building Set,0,1
152,Service Packs,Technic,0,1
51,Star Wars,Ultimate Collector Series,0,1
22,Town,City Center,0,1
31,Duplo,Bob the Builder,0,1
16,Duplo,Little Robots,0,1
16,Duplo,Dino,0,1
5,Duplo,Jurassic World,0,1
28,Power Miners,Power Miners,0,1
34,Hero Factory,Hero Factory,0,1
56,Games,Games,0,1
39,Collectible Minifigures,Collectible Minifigures,0,1
35,Hidden Side,Hidden Side,0,1
8,Alpha Team,Alpha Team,0,1
37,Creator,Early Creator,0,1
5,Technic,Speed Slammers,0,1
19,Collectible Minifigures,Series 17 Minifigures,0,1
5,Seasonal,Advent,0,1
37,City,Trains,0,1
278,Service Packs,Service Packs,0,1
30,Building Set with People,Building Set with People,0,1
101,Jurassic World,Jurassic World,0,1
147,Minecraft,Minecraft,0,1
12,Dino Attack / Dino 2010,Dino Attack / Dino 2010,0,1
16,Collectible Minifigures,Series 22 Minifigures,0,1
19,Collectible Minifigures,Series 1 Minifigures,0,1
4,Juniors,Ninjago,0,1
2,Studios,Jurassic Park III,0,1
11,Town,Arctic,0,1
6,Town,Launch Command,0,1
14,Agents,Agents,0,1
1,Modular Buildings,Mini,0,1
8,Dino,Dino,0,1
122,Other,Database Sets,0,1
16,Collectible Minifigures,Looney Tunes,0,1
1,Legoland,Castle,0,1
1,The Legend of Zelda,The Legend of Zelda,0,1
282,Educational and Dacta,Service Packs,0,1
10,Educational and Dacta,Technic,0,1
11,Duplo,Town,0,1
22,Seasonal,Advent,0,1
4,Seasonal,Advent,0,1
1,Seasonal,Advent,0,1
282,Service Packs,Technic,1,2
10,Technic,Control Lab,1,2
11,Town,My Town,1,2
22,Advent,City,1,2
4,Advent,Marvel,1,2
1,Advent,Belville,1,2
7,Batman,UCS,1,2
18,Disney,Mickey & Friends,1,2
4,Disney,Planes,1,2
1,Advent,Pirates,1,2
1,Advent,Classic Basic,1,2
86,Town,Legoville,1,2
4,Advent,Creator,1,2
9,Mindstorms,NXT,1,2
21,Disney,Cars,1,2
3,Disney,Miles From Tomorrowland,1,2
36,Christmas,Creator,1,2
44,Batman,The LEGO Batman Movie,1,2
18,Disney,Winnie the Pooh,1,2
4,Disney,Doc McStuffins,1,2
6,Advent,Harry Potter,1,2
19,Disney,Disney Princess,1,2
6,Disney,Toy Story,1,2
40,Mindstorms,WeDo,1,2
7,Disney,Jake and the Never Land Pirates,1,2
15,Advent,Star Wars,1,2
2,Advent,Castle,1,2
5,Technic,eLAB,1,2
16,Mindstorms,RCX,1,2
13,Advent,Friends,1,2
10,Spider-Man,Spidey and His Amazing Friends,1,2
2,Advent,Clikits,1,2
